icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,category
39de4f,TVF3289 ,France,1760190663.0,1760190663,27.9681,41.7062,6522.72,False,213.47,303.0,6.83,,6621.78,3255,False,0,
a4754b,N387A   ,United States,1760190663.0,1760190663,-97.2237,32.8446,883.92,False,109.94,120.04,-0.65,,929.64,5150,False,0,
39de4b,TVF97NG ,France,1760190663.0,1760190663,2.1344,48.3029,6797.04,False,202.62,196.82,11.38,,7178.04,7650,False,0,
39de4d,TVF55XF ,France,1760190663.0,1760190663,-6.8432,39.5877,10058.4,False,218.35,220.03,0.0,,10439.4,7676,False,0,
39de4c,TVF33SN ,France,1760190663.0,1760190663,-7.3503,34.5082,11582.4,False,235.47,32.51,0.0,,12047.22,6403,False,0,
a53edd,GPD437  ,United States,1760190663.0,1760190663,-74.0851,40.756,716.28,False,102.81,11.25,4.55,,784.86,3021,False,0,
3ffc0e,DMPCH   ,Germany,1760190661.0,1760190663,13.3579,48.1668,502.92,False,32.93,118.97,-0.33,,1341.12,7000,False,0,
801642,AXB1243 ,India,1760190663.0,1760190663,73.4625,15.956,3291.84,False,157.96,179.07,-7.48,,3383.28,,False,0,
a3b87f,DAL2897 ,United States,1760190663.0,1760190663,-111.9076,40.2631,5364.48,False,183.16,295.63,-2.93,,5532.12,,False,0,
801643,AXB1604 ,India,1760190663.0,1760190663,77.9044,13.6499,5585.46,False,203.51,233.01,-12.68,,5859.78,,False,0,
39de50,TVF52JQ ,France,1760190658.0,1760190663,21.081,42.6491,11269.98,False,243.44,136.46,0.33,,11597.64,0657,False,0,
80162f,AIC2600 ,India,1760190663.0,1760190663,77.6613,13.5169,4419.6,False,179.36,224.19,-4.88,,4594.86,,False,0,
39de53,TVF28HJ ,France,1760190663.0,1760190663,24.2717,39.5661,11879.58,False,249.19,135.42,0.98,,12161.52,7557,False,0,
aaf633,UAL2344 ,United States,1760190664.0,1760190664,-90.2374,35.4848,10355.58,False,247.79,243.75,0.33,,10797.54,3364,False,0,
a4886b,N391VR  ,United States,1760190663.0,1760190663,-71.3567,42.4108,800.1,False,45.19,202.77,0.0,,861.06,,False,0,
80163d,IGO5035 ,India,1760190655.0,1760190657,77.0806,28.5648,,True,0.06,241.88,,,,,False,0,
aa096a,CXK554  ,United States,1760190650.0,1760190650,-73.1259,40.7802,45.72,False,35.17,84.12,-3.25,,99.06,,False,0,
80163c,IGO1HP  ,India,1760190663.0,1760190663,77.0784,28.5688,525.78,False,86.1,284.53,7.8,,480.06,,False,0,
a2cbd1,N28BX   ,United States,1760190663.0,1760190663,-76.2289,36.8645,160.02,False,41.16,36.87,-1.63,,167.64,,False,0,
a52bbb,N432NC  ,United States,1760190598.0,1760190598,-83.8079,43.4333,335.28,False,58.68,267.99,-5.2,,342.9,,False,0,
acdfa6,AAL2292 ,United States,1760190663.0,1760190663,-89.5433,37.1778,10668.0,False,221.94,54.91,-0.33,,11102.34,1510,False,0,
ac4963,DAL306  ,United States,1760190663.0,1760190663,-108.4906,32.3492,10363.2,False,232.48,287.91,0.0,,10980.42,7367,False,0,
a3b88e,AAL1755 ,United States,1760190657.0,1760190663,-81.4521,37.6943,10363.2,False,249.5,350.98,-0.33,,10736.58,,False,0,
aae316,AAL1987 ,United States,1760190663.0,1760190663,-92.4786,34.6979,10919.46,False,242.11,247.25,-5.2,,11445.24,6552,False,0,
acdfa3,ASA1271 ,United States,1760190663.0,1760190663,-116.066,32.7689,5227.32,False,180.76,264.94,-9.43,,5448.3,,False,0,
00b22f,SAA346  ,South Africa,1760190586.0,1760190595,18.5995,-33.9719,,True,0.64,295.31,,,,,False,0,
80160a,IGO87DE ,India,1760190663.0,1760190663,82.6772,17.2435,11277.6,False,227.41,52.35,0.0,,11948.16,,False,0,
a8dc9f,NCJ70   ,United States,1760190663.0,1760190663,-87.5692,42.1379,5120.64,False,195.15,87.58,0.0,,5280.66,2670,False,0,
801615,AXB2012 ,India,1760190641.0,1760190642,84.5826,19.7885,11597.64,False,235.15,214.21,-0.33,,12298.68,2606,False,0,
aa9300,UAL4    ,United States,1760190663.0,1760190663,-5.9312,52.7844,10668.0,False,250.32,296.09,0.0,,11170.92,5433,False,0,
a84528,N63199  ,United States,1760190661.0,1760190663,-85.1711,33.1803,1615.44,False,30.05,6.88,0.65,,1645.92,,False,0,
ad562a,AVA8587 ,United States,1760190663.0,1760190663,-74.6647,4.4488,5791.2,False,209.21,235.22,7.8,,6179.82,,False,0,
489591,SPFMS   ,Poland,1760190659.0,1760190661,16.5445,51.8442,114.3,False,32.31,232.77,-0.33,,,,False,0,
801622,IGO6071 ,India,1760190663.0,1760190663,76.7991,25.2511,11887.2,False,235.15,171.44,0.0,,12573.0,,False,0,
80160f,IGO856  ,India,1760190628.0,1760190632,84.3669,25.0068,10972.8,False,219.38,299.81,-0.33,,11597.64,5146,False,0,
80160d,AXB1068 ,India,1760190491.0,1760190491,77.0747,28.5457,,True,13.38,309.38,,,,,False,0,
